               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093649,            0.058246,            0.029701,             0.40716,            0.089744,            0.040745,           0.0082225,            0.070186,             0.05566,            0.021201,           0.0033284,           0.0033284,            0.070044
                   1,             0.07472,            0.048854,            0.019374,             0.78487,             0.12393,            0.097724,            0.028101,            0.077912,            0.036575,            0.017363,           0.0066565,           0.0066565,            0.040039
                   2,            0.076493,            0.037687,            0.016962,             0.89491,             0.12808,             0.16684,            0.048333,             0.06426,            0.037406,            0.016185,           0.0099636,           0.0099636,            0.010012
                   3,            0.063412,            0.039129,            0.016066,             0.52542,             0.36087,             0.25773,            0.080635,            0.048636,            0.035431,            0.014233,           0.0099291,           0.0099291,           0.0099291
                   4,            0.056685,            0.037575,             0.01441,             0.61984,             0.40235,             0.28797,             0.10558,            0.046612,            0.036126,            0.011815,           0.0099291,           0.0099291,           0.0099291
                   5,            0.046455,            0.036079,            0.012494,             0.77192,             0.42605,             0.42344,             0.17883,            0.036887,            0.034516,            0.010259,           0.0098743,           0.0098743,           0.0098743
                   6,            0.046494,            0.036221,            0.010657,             0.72638,             0.44013,             0.42394,             0.18683,            0.038779,            0.033282,           0.0088952,           0.0098042,           0.0098042,           0.0098042
                   7,            0.041575,            0.034673,           0.0096662,             0.78973,             0.47792,             0.45103,             0.20406,            0.035115,            0.032858,           0.0094972,           0.0097191,           0.0097191,           0.0097191
                   8,            0.037873,            0.034888,           0.0093859,             0.79276,             0.41384,             0.43316,             0.17822,            0.037177,            0.032276,           0.0080562,           0.0096193,           0.0096193,           0.0096193
                   9,            0.035684,            0.035249,           0.0081257,             0.79008,             0.51479,             0.52497,             0.25492,            0.033585,            0.031945,            0.007461,           0.0095052,           0.0095052,           0.0095052
                  10,            0.035499,            0.033919,           0.0084324,             0.84682,             0.45828,             0.52846,              0.2269,            0.035785,             0.03285,           0.0068647,           0.0093773,           0.0093773,           0.0093773
                  11,            0.035632,            0.033789,           0.0079508,             0.89167,              0.4858,             0.56303,             0.30878,            0.029098,            0.032265,           0.0072229,           0.0092361,           0.0092361,           0.0092361
                  12,            0.035378,            0.032139,           0.0079079,             0.43628,             0.71581,              0.5947,              0.2918,            0.032502,            0.032528,           0.0065597,           0.0090821,           0.0090821,           0.0090821
                  13,            0.034881,            0.034598,           0.0079198,             0.47232,             0.60555,             0.55321,             0.29755,            0.031424,            0.032845,           0.0072365,           0.0089159,           0.0089159,           0.0089159
                  14,            0.030697,            0.030758,           0.0084731,             0.47453,             0.68333,             0.59414,             0.33335,            0.029254,            0.031421,           0.0072827,           0.0087382,           0.0087382,           0.0087382
                  15,            0.030806,            0.030722,           0.0063894,             0.48435,             0.68781,             0.63494,             0.37793,            0.027954,            0.031055,           0.0067104,           0.0085497,           0.0085497,           0.0085497
                  16,            0.028666,             0.03091,           0.0066034,             0.64886,             0.69484,             0.67777,             0.39664,             0.02696,            0.030837,           0.0055287,           0.0083511,           0.0083511,           0.0083511
                  17,            0.031996,            0.030596,           0.0065776,             0.65461,             0.63061,             0.65389,             0.38346,            0.027159,            0.030575,           0.0055501,           0.0081433,           0.0081433,           0.0081433
                  18,            0.031292,            0.030484,           0.0065758,             0.59459,             0.63954,             0.64336,             0.38776,            0.026712,            0.031932,           0.0057118,            0.007927,            0.007927,            0.007927
                  19,            0.027683,            0.030227,           0.0050851,             0.60692,             0.67324,             0.67912,             0.39811,            0.025229,            0.030642,           0.0049178,           0.0077031,           0.0077031,           0.0077031
                  20,             0.02909,            0.030673,           0.0055028,             0.63296,             0.69212,             0.67543,             0.40189,            0.026953,            0.030856,           0.0050846,           0.0074725,           0.0074725,           0.0074725
                  21,            0.028068,            0.029942,           0.0054696,             0.64494,             0.68781,             0.66667,             0.40591,            0.024907,            0.030595,           0.0056873,           0.0072361,           0.0072361,           0.0072361
                  22,            0.027366,            0.029533,           0.0066243,             0.68343,             0.68049,             0.67501,             0.40231,            0.024089,            0.029937,           0.0042877,           0.0069948,           0.0069948,           0.0069948
                  23,             0.02728,            0.029698,           0.0053118,             0.62377,             0.68248,             0.66422,             0.40036,            0.024489,            0.030332,           0.0047653,           0.0067495,           0.0067495,           0.0067495
                  24,            0.028672,            0.031014,           0.0050541,             0.71263,             0.67886,             0.70356,              0.4137,            0.024187,            0.030305,           0.0049499,           0.0065013,           0.0065013,           0.0065013
                  25,            0.025643,            0.028236,           0.0054939,             0.68637,             0.68802,             0.69485,             0.41285,            0.024493,            0.030493,           0.0041221,           0.0062512,           0.0062512,           0.0062512
                  26,            0.025433,             0.02737,           0.0050931,             0.70667,             0.68556,             0.68188,             0.41892,            0.023809,            0.029755,           0.0042719,               0.006,               0.006,               0.006
                  27,             0.02489,            0.027747,           0.0044825,             0.63574,             0.74012,             0.71846,             0.43818,            0.023604,             0.02997,           0.0040555,           0.0057488,           0.0057488,           0.0057488
                  28,            0.024905,            0.029375,           0.0044843,             0.76507,             0.69164,             0.71615,             0.44465,            0.023542,            0.029674,           0.0038687,           0.0054987,           0.0054987,           0.0054987
                  29,            0.024049,            0.027769,           0.0046986,             0.75763,             0.68727,             0.72669,             0.44328,             0.02358,            0.030153,           0.0038058,           0.0052505,           0.0052505,           0.0052505
                  30,            0.023851,            0.028391,           0.0045348,             0.71668,             0.71858,             0.73162,             0.44923,            0.023437,            0.030087,           0.0041655,           0.0050052,           0.0050052,           0.0050052
                  31,            0.023235,            0.026527,           0.0039307,             0.61186,             0.76554,             0.70147,             0.42989,            0.022757,            0.029396,           0.0042001,           0.0047639,           0.0047639,           0.0047639
                  32,            0.024263,            0.027882,           0.0041743,             0.74466,             0.72095,             0.73618,              0.4406,             0.02384,            0.029732,           0.0041766,           0.0045275,           0.0045275,           0.0045275
